class,sc,omc_sc,cov_gap
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/StrictChronology.html>org.joda.time.chrono.StrictChronology</a>,77.08333,41.666664,35.416664
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/TimeOfDay.html>org.joda.time.TimeOfDay</a>,100.0,56.153847,43.846153
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/format/ISOPeriodFormat.html>org.joda.time.format.ISOPeriodFormat</a>,100.0,93.75,6.25
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/tz/ZoneInfoProvider.html>org.joda.time.tz.ZoneInfoProvider</a>,80.48781,51.219513,29.268295
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/GJEraDateTimeField.html>org.joda.time.chrono.GJEraDateTimeField</a>,75.86207,20.689655,55.172413
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BaseChronology.html>org.joda.time.chrono.BaseChronology</a>,66.66667,50.476192,16.19048
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/JulianChronology.html>org.joda.time.chrono.JulianChronology</a>,96.82539,61.904762,34.92063
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/CopticChronology.html>org.joda.time.chrono.CopticChronology</a>,96.61017,40.677963,55.932205
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/ImpreciseDateTimeField.html>org.joda.time.field.ImpreciseDateTimeField</a>,50.0,21.428572,28.571428
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/PreciseDurationField.html>org.joda.time.field.PreciseDurationField</a>,100.0,100.0,0.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/Period.html>org.joda.time.Period</a>,100.0,65.90038,34.099617
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BasicGJChronology.html>org.joda.time.chrono.BasicGJChronology</a>,100.0,40.816326,59.183674
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/format/DateTimeFormatter.html>org.joda.time.format.DateTimeFormatter</a>,97.89474,58.42105,39.473686
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/format/PeriodFormat.html>org.joda.time.format.PeriodFormat</a>,87.012985,67.53247,19.480515
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/DurationField.html>org.joda.time.DurationField</a>,100.0,66.66667,33.33333
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/Weeks.html>org.joda.time.Weeks</a>,100.0,86.36364,13.63636
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/DateTime.html>org.joda.time.DateTime</a>,97.04641,82.27848,14.767929
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/AbstractReadableInstantFieldProperty.html>org.joda.time.field.AbstractReadableInstantFieldProperty</a>,96.61017,83.05085,13.559319
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/format/DateTimeParserInternalParser.html>org.joda.time.format.DateTimeParserInternalParser</a>,77.77778,55.555557,22.222221
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/LocalDate.html>org.joda.time.LocalDate</a>,91.44737,62.828945,28.618427
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/UTCDateTimeZone.html>org.joda.time.UTCDateTimeZone</a>,63.636364,27.272728,36.363636
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BasicDayOfMonthDateTimeField.html>org.joda.time.chrono.BasicDayOfMonthDateTimeField</a>,92.59259,70.37037,22.222221
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/format/InternalParserDateTimeParser.html>org.joda.time.format.InternalParserDateTimeParser</a>,76.47059,47.058823,29.411766
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/Instant.html>org.joda.time.Instant</a>,100.0,87.09677,12.903229
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/CalendarConverter.html>org.joda.time.convert.CalendarConverter</a>,100.0,86.95652,13.04348
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BasicDayOfYearDateTimeField.html>org.joda.time.chrono.BasicDayOfYearDateTimeField</a>,77.27273,9.090909,68.181816
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/BaseDurationField.html>org.joda.time.field.BaseDurationField</a>,100.0,85.71429,14.285713
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BuddhistChronology.html>org.joda.time.chrono.BuddhistChronology</a>,92.0,78.0,14.0
